rw,#threads,reqsize(kb),ioengine,iodepth,throughput(bytes/s),iops,bw_mean
randread,1,4,libaio,32,9189890,2243.625498,8984.4
randread,2,4,libaio,32,6597292,1610.667199,6430
randread,4,4,libaio,32,3173536,774.789082,3094.8
randread,8,4,libaio,32,1612700,393.725802,1568.8
randread,16,4,libaio,32,883403,215.674603,854.4
randread,1,8,libaio,32,25519816,3115.21197,24929.6
randread,2,8,libaio,32,12686545,1548.650533,12385.6
randread,4,8,libaio,32,4422964,539.912629,4303.2
randread,8,8,libaio,32,3682143,449.480455,3576.8
randread,16,8,libaio,32,1454874,177.596984,1397.6
randread,1,16,libaio,32,53681309,3276.447106,52436.8
randread,2,16,libaio,32,25408517,1550.812805,24820.8
randread,4,16,libaio,32,12710545,775.790101,12406.4
randread,8,16,libaio,32,6712451,409.695537,6515.2
randread,16,16,libaio,32,3061624,186.866719,2956.8
randread,1,32,libaio,32,102339500,3123.153693,99974.4
randread,2,32,libaio,32,51021096,1557.040287,49843.2
randread,4,32,libaio,32,25190135,768.741932,24508.8
randread,8,32,libaio,32,14470917,441.617357,14073.6
randread,16,32,libaio,32,6374146,194.523506,6099.2
randread,1,64,libaio,32,97286282,1484.470859,98624
randread,2,64,libaio,32,25334007,386.566277,24467.2
randread,4,64,libaio,32,35995004,549.240182,35148.8
randread,8,64,libaio,32,15358377,234.350238,14918.4
randread,16,64,libaio,32,8205643,125.20819,7756.8
randread,1,128,libaio,32,139992449,1068.057625,136780.8
randread,2,128,libaio,32,69012624,526.524541,67302.4
randread,4,128,libaio,32,36773758,280.561513,35622.4
randread,8,128,libaio,32,16133103,123.085813,15385.6
randread,16,128,libaio,32,8720741,66.533978,8089.6
randread,1,256,libaio,32,139164462,530.870295,135987.2
randread,2,256,libaio,32,70648373,269.502156,69068.8
randread,4,256,libaio,32,35253415,134.48111,34662.4
randread,8,256,libaio,32,16784484,64.027727,16115.809524
randread,16,256,libaio,32,7958926,30.360894,7116.8
randread,1,512,libaio,32,139411332,265.906014,136243.2
randread,2,512,libaio,32,69435951,132.438567,67020.8
randread,4,512,libaio,32,34757784,66.295212,32719.238095
randread,8,512,libaio,32,16698183,31.849258,15404.521739
randread,16,512,libaio,32,11161608,21.289079,10369.190476
